Configuration Fields,Frequency(50/60),Data Rate,Number of Phasor(integer),Number of Analog(integer),Number of Digital(zero),Data Format (integer: 0-15),Phasor-1 Name(upto 16-char),Phasor-1 Type(v/c),Phasor-1 PHNMR(scaling),Phasor-2 Name(upto 16-char),Phasor-2 Type(v/c),Phasor-2 PHNMR(scaling),Phasor-3 Name(upto 16-char),Phasor-3 Type(v/c),Phasor-3 PHNMR(scaling),Phasor-4 Name(upto 16-char),Phasor-4 Type(v/c),Phasor-4 PHNMR(scaling),Phasor-5 Name(upto 16-char),Phasor-5 Type(v/c),Phasor-5 PHNMR(scaling),Phasor-6 Name(upto 16-char),Phasor-6 Type(v/c),Phasor-6 PHNMR(scaling),Phasor-7 Name(upto 16-char),Phasor-7 Type(v/c),Phasor-7 PHNMR(scaling),Phasor-8 Name(upto 16-char),Phasor-8 Type(v/c),Phasor-8 PHNMR(scaling),
Configuration Field Inputs,50,50,8,0,0,15,V1,v,10000,I2,c,100,I3,c,100,I4,c,100,I5,c,100,I6,c,100,I7,c,100,I8,c,100,
Measurements Fields,Time Stamp,Phasor-1 Magnitude,Phasor-1 Angle,Phasor-2 Magnitude,Phasor-2 Angle,Phasor-3 Magnitude,Phasor-3 Angle,Phasor-4 Magnitude,Phasor-4 Angle,Phasor-5 Magnitude,Phasor-5 Angle,Phasor-6 Magnitude,Phasor-6 Angle,Phasor-7 Magnitude,Phasor-7 Angle,Phasor-8 Magnitude,Phasor-8 Angle,Frequency,ROCOF,
 ,3.96,1.04412851561,5.15240363065,0.178174394907,-24.1895000565,0.380795438097,176.46286518,0.158207921293,-16.2184999013,0.199054321444,152.593683662,0.948247221531,94.7420223638,2.0829787719,-161.42425198,12.1680022032,-178.347872751,49.9850927963,-0.00196466914533,
 ,3.98,1.04413521251,5.25712990782,0.175875265762,-24.0304997241,0.380220150593,176.545207626,0.169880169399,-15.6032857638,0.198606772677,152.646704218,0.951960709508,95.9865666944,2.14281284191,-162.113304615,12.1097251594,-178.286170483,49.9853340637,-0.00193388056232,
 ,4.0,1.04414170285,5.3601931318,0.173750349457,-23.8776667032,0.379833903852,176.633791963,0.181215176561,-15.0752621899,0.199269928726,152.833288513,0.956211637823,97.2777456334,2.20049662783,-162.724329161,12.0537949821,-178.224589643,49.9855683659,-0.00188680198613,
 ,4.02,1.04414794663,5.46166069083,0.171795989625,-23.7308049674,0.379633547955,176.728562219,0.192204093751,-14.6164391267,0.201089769053,153.156108498,0.961008820531,98.6035472599,2.25546358008,-163.260935306,12.0002988862,-178.162963916,49.9857941243,-0.0018259233361,
 ,4.04,1.04415390572,5.56160784899,0.17000729014,-23.5896853893,0.379615220234,176.829427953,0.202838836592,-14.2134208761,0.204102819729,153.611627755,0.966343373977,99.950951582,2.30719294416,-163.726981007,11.9493270615,-178.101104847,49.9860100836,-0.0017537858889,
 ,4.06,1.04415954433,5.66011546003,0.168378362001,-23.4540540942,0.379774431166,176.936266625,0.213111506554,-13.8560353784,0.208335154792,154.190334566,0.972186855044,101.306288227,2.35521835536,-164.126413539,11.9009731845,-178.038804192,49.9862153073,-0.00167292615999,
 ,4.08,1.04416482933,5.75726778205,0.166902589686,-23.3236408225,0.380106151363,177.048926358,0.223013931818,-13.5364265189,0.213801097854,154.877595826,0.978490323366,102.655605981,2.39913491336,-164.463148796,11.8553346103,-177.975836745,49.9864091675,-0.0015858224855,
 ,4.1,1.04416973052,5.85315043454,0.165572909689,-23.1981671308,0.380604897997,177.167229003,0.232537298252,-13.2484371818,0.220501751499,155.654990887,0.985184438748,103.985034148,2.43860468665,-164.740983836,11.8125122348,-177.911963621,49.9865913277,-0.00149484545187,
 ,4.12,1.04417422091,5.94784853336,0.164382093622,-23.0773542827,0.381264819138,177.290973404,0.241671854549,-12.9871801829,0.228423537018,156.501904661,0.992180625194,105.281116624,2.47336062067,-164.963537466,11.77261002,-177.846935951,49.986761721,-0.00140221319796,
 ,4.14,1.04417827685,6.04144503403,0.1633230281,-22.9609306858,0.382079774565,177.419938755,0.250406682949,-12.7487337393,0.237536937156,157.397135518,0.999373252263,106.531102641,2.50320884636,-165.134213925,11.7357341913,-177.780498928,49.9869205238,-0.00130995246875,
 ,4.16,1.04418187822,6.13401930646,0.162388983687,-22.8486387466,0.383043411796,177.553887961,0.258729530812,-12.5299213947,0.247795602272,158.320306103,1.00664271242,107.723182868,2.52802940869,-165.256185236,11.7019921222,-177.712396149,49.987068125,-0.00121986613475,
 ,4.18,1.04418500849,6.22564595794,0.161573865472,-22.7402410212,0.384149236221,177.692570925,0.26662670029,-12.328150415,0.259135921393,159.252936932,1.01385921656,108.846665114,2.54777545794,-165.332388318,11.6714909304,-177.64237417,49.9872050934,-0.00113350771154,
